ID_UF;ID;cas2008;cas2009;cas2010;cas2011;cas2012;cas2013;cas2014;cas2015;cas2016;cas2017;cas2018;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016;pop2017;pop2018;tx2008;tx2009;tx2010;tx2011;tx2012;tx2013;tx2014;tx2015;tx2016;tx2017;tx2018;Ano1;Ano2;Ano3 ;Ano4;Ano5;Ano6;Ano7;Ano8;Ano9;Ano10;Ano11;tx2008na
31;31036;6;5;5;2;10;18;14;13;12;21;13;86469;86596;81527;81296;81077;83269;83120;82978;82841;82713;80567;0,0694;0,0577;0,061329;0,024601;0,12334;0,216167;0,168431;0,156668;0,144856;0,25389;0,161356;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,69389
31;31013;0;4;10;5;13;14;17;23;25;38;20;86822;86907;83152;82962;82805;85121;85033;84951;84871;84794;82769;NA;0,0460;0,120262;0,060269;0,156995;0,164472;0,199922;0,270744;0,294565;0,448145;0,241636;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
43;43033;42;40;32;51;49;58;72;99;74;101;92;502375;504907;482438;483651;484359;501555;502736;503847;504900;505893;501204;0,0836;0,0792;0,06633;0,105448;0,101165;0,11564;0,143216;0,196488;0,146564;0,199647;0,183558;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,8363
27;27013;33;43;48;56;35;39;62;40;43;56;34;125298;125997;124552;125103;125498;130608;131126;131611;132067;132497;130476;0,2634;0,3413;0,385381;0,447631;0,278889;0,298603;0,472828;0,303926;0,325592;0,422651;0,260584;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,263372
26;26005;124;88;72;76;69;107;99;140;130;169;159;426818;434423;444091;451275;458314;478117;485792;493230;500416;507355;507907;0,2905;0,2026;0,162129;0,168412;0,150552;0,223795;0,203791;0,283843;0,259784;0,3331;0,313049;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,29522
25;25005;2;3;6;7;9;8;8;7;6;14;7;74580;74786;70696;70605;70514;71458;71388;71321;71256;71194;71299;0,0268;0,0401;0,08487;0,099143;0,127634;0,111954;0,112064;0,098148;0,084203;0,196646;0,098178;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,26817
22;22013;6;12;14;13;15;12;12;14;14;21;7;201291;202753;199654;200731;201785;203273;203813;204288;204707;205104;208061;0,0298;0,0592;0,070121;0,064763;0,074337;0,059034;0,058878;0,068531;0,06839;0,102387;0,033644;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,2988
35;35045;20;22;11;10;8;13;9;11;13;13;5;184187;184675;189320;190106;190951;198190;199246;200274;201278;202259;203083;0,1086;0,1191;0,058103;0,052602;0,041896;0,065594;0,04517;0,054925;0,064587;0,064274;0,02462;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,18585
21;21008;57;68;68;58;83;87;96;110;122;153;146;599586;604048;621803;629369;634376;642579;648120;650498;654404;658029;662890;0,0951;0,1126;0,109359;0,092156;0,130837;0,135392;0,148121;0,169101;0,186429;0,232513;0,220248;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,9566
22;22014;3;4;1;3;4;4;6;5;11;10;9;57762;57861;57888;58239;58632;59065;59267;59522;59681;59830;60669;0,0519;0,0691;0,017275;0,051512;0,068222;0,067722;0,101237;0,084003;0,184313;0,16714;0,148346;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,51937
35;35028;48;40;49;47;56;71;45;45;31;28;39;551160;556668;556425;560951;565651;590064;595583;600947;606192;611316;618249;0,0871;0,0719;0,088062;0,083786;0,099001;0,120326;0,075556;0,074882;0,051139;0,045803;0,063081;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,8789
31;31006;15;18;18;12;31;45;36;58;80;36;22;165668;166640;164941;165683;166434;172272;173146;173984;174782;175538;174106;0,0905;0,1080;0,10913;0,072427;0,18626;0,261215;0,207917;0,333364;0,457713;0,205084;0,12636;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,9543
35;35029;7;9;5;8;6;8;4;3;11;4;2;186327;188244;183687;184907;186206;193909;195455;196960;198430;199869;201646;0,0376;0,0478;0,02722;0,043265;0,032222;0,041256;0,020465;0,015232;0,055435;0,020013;0,009918;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,37568
52;52016;8;4;4;4;7;7;6;11;18;14;23;93758;94450;93136;93755;94275;97659;98328;98984;99623;100245;100149;0,0853;0,0424;0,042948;0,042664;0,074251;0,071678;0,06102;0,111129;0,180681;0,139658;0,229658;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,85326
31;31042;2;0;1;1;2;1;2;0;2;1;1;81359;81709;81622;81984;82311;85144;85531;85904;86257;86594;85780;0,0246;NA;0,012252;0,012198;0,024298;0,011745;0,023383;NA;0,023187;0,011548;0,011658;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,24582
31;31051;7;2;5;1;3;6;8;8;3;2;6;339262;341925;342238;344490;346837;359879;362471;364958;367325;369570;368530;0,0206;0,0058;0,01461;0,002903;0,00865;0,016672;0,022071;0,02192;0,008167;0,005412;0,016281;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,2633
31;31060;17;11;17;21;27;23;20;22;25;30;34;193460;193616;187117;186919;186688;192038;191963;191894;191825;191762;187515;0,0879;0,0568;0,090852;0,112348;0,144626;0,119768;0,104187;0,114647;0,130327;0,156444;0,181319;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,87873
52;52004;5;12;15;23;20;27;23;36;34;37;44;226916;226752;231437;231812;232179;239198;239814;240420;241009;241584;237951;0,0220;0,0529;0,064812;0,099218;0,08614;0,112877;0,095908;0,149738;0,141074;0,153156;0,184912;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,2235
15;15004;2;1;5;6;6;4;10;6;12;15;16;111042;112499;129870;132517;135041;139347;142011;144594;147088;149485;151541;0,0180;0,0089;0,0385;0,045277;0,044431;0,028705;0,070417;0,041495;0,081584;0,100345;0,105582;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,1811
43;43026;1202;1061;938;1009;1154;1071;1373;1483;1575;1582;1134;3708270;3734095;3629049;3643619;3658690;3793589;3810077;3825590;3840273;3854144;3867864;0,3241;0,2841;0,25847;0,276922;0,315413;0,282318;0,36036;0,387653;0,410127;0,410467;0,293185;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,32414
21;21019;9;7;13;16;7;8;21;20;22;21;18;100120;101105;109843;111489;112995;114767;116059;117278;118414;119470;119474;0,0899;0,0692;0,118351;0,143512;0,06195;0,069706;0,180942;0,170535;0,185789;0,175776;0,15066;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,89892
17;17006;11;20;29;41;35;39;55;84;86;84;88;273576;278981;322655;330824;338559;358276;366873;375255;383420;391361;396590;0,0402;0,0717;0,089879;0,123933;0,103379;0,108855;0,149916;0,223848;0,224297;0,214636;0,221892;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,428
29;29032;287;357;373;334;412;376;412;387;471;379;388;705503;712255;727907;735155;742149;791457;798777;805684;812150;818196;794765;0,4068;0,5012;0,512428;0,454326;0,555145;0,475073;0,515789;0,480337;0,579942;0,463214;0,488195;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,4682
31;31052;6;2;3;6;2;13;11;12;19;16;4;317487;320896;326395;329877;333209;346933;350481;353879;357117;360191;361850;0,0189;0,0062;0,009191;0,018189;0,006002;0,037471;0,031385;0,03391;0,053204;0,044421;0,011054;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,18898
21;21012;12;23;25;36;45;34;42;45;43;43;34;185501;186078;191029;192012;192964;194017;194658;195258;195820;196340;199032;0,0647;0,1236;0,13087;0,187488;0,233204;0,175242;0,215763;0,230464;0,219589;0,219008;0,170827;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,6469
35;35036;17;12;24;17;18;16;15;10;14;14;18;577652;580576;573432;575620;577785;599146;601915;604601;607231;609801;611482;0,0294;0,0207;0,041853;0,029533;0,031153;0,026705;0,02492;0,01654;0,023055;0,022958;0,029437;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,29429
51;51019;10;16;25;11;19;37;40;14;22;23;15;73462;75080;83726;85696;87669;91029;93250;95412;97184;99226;103909;0,1361;0,2131;0,298593;0,128361;0,216724;0,406464;0,428954;0,146732;0,226375;0,231794;0,144357;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,136125
28;28007;16;8;28;16;32;28;22;38;29;42;43;92764;93204;91153;91416;91672;94413;94719;95020;95315;95603;94724;0,1725;0,0858;0,307176;0,175024;0,349071;0,296569;0,232266;0,399916;0,304254;0,439317;0,45395;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,172481
52;52018;4;4;3;5;21;31;38;39;19;22;24;98317;98723;110837;112141;113424;118446;119995;121515;122993;124433;126788;0,0407;0,0405;0,027067;0,044587;0,185146;0,261723;0,31668;0,320948;0,15448;0,176802;0,189292;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,4685
26;26017;1884;1688;1346;1278;1158;1003;1085;1161;1393;1734;1268;3329359;3361068;3256460;3279887;3300035;3397463;3418795;3439465;3459434;3478720;3487405;0,5659;0,5022;0,413332;0,389648;0,350905;0,29522;0,317363;0,337552;0,402667;0,498459;0,363594;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,565875
15;15021;51;71;67;47;43;48;47;39;46;89;85;174710;175328;183163;184420;185608;187783;188791;189772;190717;191626;195973;0,2919;0,4050;0,365794;0,254853;0,231671;0,255614;0,248953;0,20551;0,241195;0,464446;0,433733;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,291912
